search_term,status,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,match_type,impressions,clicks,cost,conversions,conversion_value,ctr,cpc,is_brand_term,expected_ad_group,actual_ad_group,issue_type,priority,recommendation
b2b order software,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,order management system for b2b,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b order software] as negative to [NB - Manufacturers] to route to [B2B EComm]
b2b order taking software,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,order management system for b2b,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b order taking software] as negative to [NB - Manufacturers] to route to [B2B EComm]
b2b ordering platform,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,order management system for b2b,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b ordering platform] as negative to [NB - Manufacturers] to route to [B2B EComm]
b2b ordering system,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,order management system for b2b,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b ordering system] as negative to [NB - Manufacturers] to route to [B2B EComm]
b2b sales order management software,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,order management system for b2b,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b sales order management software] as negative to [NB - Manufacturers] to route to [B2B EComm]
b2b manufacturing marketplace,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,manufacturer b2b portal,EXACT,2,1,36.37,0.0,0.0,50.0,36.37,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b manufacturing marketplace] as negative to [NB - Manufacturers] to route to [B2B EComm]
bulk inventory management,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale inventory management system,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [bulk inventory management] as negative to [NB - Wholesalers] to route to [OMS]
inventory management for wholesale,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale inventory management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [inventory management for wholesale] as negative to [NB - Wholesalers] to route to [OMS]
inventory management software for wholesale,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale inventory management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [inventory management software for wholesale] as negative to [NB - Wholesalers] to route to [OMS]
inventory management system wholesale,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale inventory management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [inventory management system wholesale] as negative to [NB - Wholesalers] to route to [OMS]
supplier inventory management system,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale inventory management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [supplier inventory management system] as negative to [NB - Wholesalers] to route to [OMS]
wholesale inventory management,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale inventory management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale inventory management] as negative to [NB - Wholesalers] to route to [OMS]
wholesale inventory management software,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale inventory management system,EXACT,44,1,91.3,0.0,0.0,2.27,91.3,False,OMS,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale inventory management software] as negative to [NB - Wholesalers] to route to [OMS]
wholesale order management,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale inventory management system,EXACT,6,1,112.24,0.0,0.0,16.67,112.24,False,OMS,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale order management] as negative to [NB - Wholesalers] to route to [OMS]
wholesale order management software,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale inventory management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale order management software] as negative to [NB - Wholesalers] to route to [OMS]
ecommerce platform for distributors,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale distribution platform,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,NB - Distributors,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [ecommerce platform for distributors] as negative to [NB - Wholesalers] to route to [NB - Distributors]
b2b wholesale ecommerce platform,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,3,1,173.22,0.0,0.0,33.33,173.22,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [b2b wholesale ecommerce platform] as negative to [NB - Wholesalers] to route to [B2B EComm]
b2b wholesale platform,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,9,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [b2b wholesale platform] as negative to [NB - Wholesalers] to route to [B2B EComm]
b2b wholesale platforms,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,8,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [b2b wholesale platforms] as negative to [NB - Wholesalers] to route to [B2B EComm]
best wholesale ecommerce platform,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [best wholesale ecommerce platform] as negative to [NB - Wholesalers] to route to [B2B EComm]
ecommerce platform for distributors,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,NB - Distributors,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [ecommerce platform for distributors] as negative to [NB - Wholesalers] to route to [NB - Distributors]
wholesale b2b platform,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale b2b platform] as negative to [NB - Wholesalers] to route to [B2B EComm]
wholesale ecommerce,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,28,3,50.05,0.0,0.0,10.71,16.68,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale ecommerce] as negative to [NB - Wholesalers] to route to [B2B EComm]
wholesale ecommerce platform,ADDED,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale ecommerce platform] as negative to [NB - Wholesalers] to route to [B2B EComm]
wholesale ecommerce platforms,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale ecommerce platforms] as negative to [NB - Wholesalers] to route to [B2B EComm]
wholesale ecommerce software,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale ecommerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale ecommerce software] as negative to [NB - Wholesalers] to route to [B2B EComm]
