search_term,status,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,match_type,impressions,clicks,cost,conversions,conversion_value,ctr,cpc,is_brand_term,expected_ad_group,actual_ad_group,issue_type,priority,recommendation
manufacturing order management software,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,manufacturing order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [manufacturing order management software] as negative to [NB - Manufacturers] to route to [OMS]
manufacturing order management system,ADDED,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,manufacturing order management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [manufacturing order management system] as negative to [NB - Manufacturers] to route to [OMS]
oms in manufacturing,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,manufacturing order management system,EXACT,8,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [oms in manufacturing] as negative to [NB - Manufacturers] to route to [OMS]
order management software for manufacturing,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,manufacturing order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [order management software for manufacturing] as negative to [NB - Manufacturers] to route to [OMS]
order management system for manufacturing,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,manufacturing order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,OMS,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [order management system for manufacturing] as negative to [NB - Manufacturers] to route to [OMS]
b2b ecommerce for manufacturers,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,manufacturer ecommerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce for manufacturers] as negative to [NB - Manufacturers] to route to [B2B EComm]
manufacturer b2b ecommerce,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,manufacturer ecommerce platform,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [manufacturer b2b ecommerce] as negative to [NB - Manufacturers] to route to [B2B EComm]
b2b oms,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,order management system for b2b,EXACT,1,1,36.23,0.0,0.0,100.0,36.23,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b oms] as negative to [NB - Manufacturers] to route to [B2B EComm]
b2b order management,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,order management system for b2b,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b order management] as negative to [NB - Manufacturers] to route to [B2B EComm]
b2b order management software,NONE,22740783748,Search - NonBrand,184871850702,NB - Manufacturers,order management system for b2b,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Manufacturers,INTENT_MISMATCH,LOW,Consider adding [b2b order management software] as negative to [NB - Manufacturers] to route to [B2B EComm]
